Mes,Data,Modelo,BRIV3.SA,EMAE4.SA,PLPL3.SA,PRIO3.SA,PINE4.SA,BRAP4.SA,AGRO3.SA,GFSA3.SA,GGBR4.SA,CSNA3.SA,EMBR3.SA,WEGE3.SA,VALE3.SA,MSFT34.SA,BRPR3.SA,BBAS3.SA,CXSE3.SA,AZUL4.SA,TEND3.SA,MGLU3.SA,AERI3.SA,TRIS3.SA,MRVE3.SA,HBOR3.SA,VLID3.SA,TRAD3.SA,PETR4.SA,TFCO4.SA,VIVT3.SA,SBSP3.SA,USIM5.SA,OIBR3.SA,EVEN3.SA,DIRR3.SA,POSI3.SA,CMIG4.SA,PSSA3.SA,EGIE3.SA,PETZ3.SA,RDOR3.SA,LREN3.SA,SUZB3.SA,TOTS3.SA,B3SA3.SA,PCAR3.SA,ASAI3.SA,ELET3.SA,MOVI3.SA,BBDC4.SA
2024-06,2024-06-01,retorno_ultimos_5m,0.07871361967392967,,,,,,,,,,0.15536846986344885,,,0.27785784371275773,,,0.1860319057920924,,,,,,,,,,,,,,,0.011878828863931755,,0.03344452700489214,0.03409225931583596,0.22261254577311154,,,,,,,,,,,,,
2024-07,2024-07-01,retorno_ultimos_5m,0.4,,,,,,,,,,0.03167643499070633,0.3021580560189989,,0.09350932700047351,,,,,,,,,,,,,,,,,,,,0.03441751740849588,0.002191988765516473,0.08298615841228703,0.05306051740350857,,,,,,,,,,,,
2024-08,2024-08-01,retorno_ultimos_5m,,,,,,,,,,,0.10954549955895217,0.3472611596785286,,0.1149061362435065,,,,,0.006824553238470216,,,,,,,,,,,0.05825290179649377,,,,0.10672229393935617,,0.1324399800174055,,0.12404747552728713,,,,,,,,,,,
2024-09,2024-09-01,retorno_ultimos_5m,,,,,,,,,,,0.0735203696214219,0.24563939881342653,,,,,,,,,0.06976153596162427,,,,0.08743007827677444,,,,,,,,,,,0.322755936377121,,,0.04545022464220083,0.15544245630743098,,,,,,,,,
2024-10,2024-10-01,retorno_ultimos_5m,,,,,,,,,,,0.04534001684067188,0.1434780830497269,,,,,,,,,,,,,0.08308022887486731,,,,,,,,,0.2277176442590175,,0.06864987352284146,0.4,,,0.01695244787392576,0.014781705578949212,,,,,,,,
2024-11,2024-11-01,retorno_ultimos_5m,,,0.09897358019098366,,,,,,,,0.08592441423602265,0.32088351539910875,,,,,,,,,,,,,0.20273630606205248,0.023526192643018036,,,,,,,,,,,,,0.05429576657335452,,0.2135264579051274,,,,,,,,
2024-12,2024-12-01,retorno_ultimos_5m,,,,,,,,,,,0.21057013051174606,0.36421990912081253,,,,,,,0.07768267874554385,,0.0303578696525748,,,,0.18498901218667532,0.02565487401934156,,,,,,,,,,,,,0.026851799052504243,,0.07967372671080174,,,,,,,,
2025-01,2025-01-01,retorno_ultimos_5m,,,,,,,,,,,0.05594411546810769,,,0.17336682110660007,,,,,,,0.007784099041041089,,,,0.08520812016048786,0.02102405505015402,,,,,,,,,,,0.4,,0.028163196478264114,,,0.22850959269534507,,,,,,,
2025-02,2025-02-01,retorno_ultimos_5m,,0.05954835369850772,,,,,,,,,0.11343907608263153,,,,,,,,0.0016200872171467447,,,0.04257927596279471,,,,0.06417868428677319,,,,,,,,,,,0.3506446819919378,,,,,0.3370422185473167,0.030947622212891702,,,,,,
2025-03,2025-03-01,retorno_ultimos_5m,,0.04770362547342631,,,,,,,,,0.2020613804659112,,,,,,,,0.05925645512841855,,,0.09707627562062826,,,0.06031580517474704,,,,,,,,,,,,0.05192275285413334,,,,,0.30074835883038636,0.18091534645234894,,,,,,
2025-04,2025-04-01,retorno_ultimos_5m,,,,,,,,0.0971320550357719,,,0.22278823072845935,,,,,,,,,,,0.19143499340614892,,,,0.02877607446546673,,,,,,,,,,,,,,,,,0.2162763119797034,0.24359233438444977,,,,,
2025-05,2025-05-01,retorno_ultimos_5m,,,,,,,,,,,,,,,,,,,,,,0.2182961782042059,,0.09545236781005333,,,,,,,,,,,,,,,,,,,,0.12645184494524206,0.11838557809721764,0.04141403094328098,0.4,,
2025-06,2025-06-01,retorno_ultimos_5m,,,0.04211502586157375,,,,,,,,,,,,,,,,0.04633650874774847,,,0.29170483874275416,,0.022254986515034318,,0.03007516573981489,,0.39999999999999997,,,,,,,,,,,,,,,,,,0.16751347439307443,,,
2025-07,2025-07-01,retorno_ultimos_5m,,,0.07742762650973976,,,,,,,,,,,,,,,,0.0832406302920155,,,,,0.03216571715780694,,,,0.4,,,,,,0.2879483623584214,,,,,,,,,,,,0.09640768092611658,,0.022809982755899842,
2025-08,2025-08-01,retorno_ultimos_5m,,,,,0.16830677788599754,,,,,,,,,,,,,,0.08383343736694691,,,,,0.039437476734323886,,,,0.3394956010018701,,,,,,,,,,,,,0.17657246941623633,,,,0.037922518001982784,,,0.04258464207447055,0.11184707751817187
2025-09,2025-09-01,retorno_ultimos_5m,,,,,0.18737225882699848,,,,,,,,,,,,,,0.10415185666792527,,,,0.05475677647027124,0.029887040875580258,,,,0.34393843269216623,,,,,,0.25758226147988433,,,,,,,,,,,,0.013128658416489825,,0.009182714570684477,
2025-10,2025-10-01,retorno_ultimos_5m,,,0.01994833766655613,,0.25160880730917123,,,,,,,,,,,,,,0.04238335274397376,,,,,0.006858115425983574,,,,0.16599722881115603,,,,,0.18338468318944454,0.07000623506375123,,,,,,,,,,,,,,,0.2598132397899635
