Mes,Data,Modelo,PRIO3.SA,POSI3.SA,EMAE4.SA,ASAI3.SA,WEGE3.SA,BRAP4.SA,BPAC11.SA,DIRR3.SA,CSNA3.SA,BRPR3.SA,PLPL3.SA,PETR4.SA,TOTS3.SA,CXSE3.SA,MSFT34.SA,TRIS3.SA,PINE4.SA
2024-12,2024-12-01,retorno_historico,0.1728520779840302,0.019806290205917107,,,0.12415907072607424,,0.15240319258400375,0.16433687864658436,,,0.02687645789035262,0.17262230982784216,,,0.16694372213519543,,
2025-01,2025-01-01,retorno_historico,0.16343055604800458,0.006434144905481019,,,0.15745162074716326,,0.12042475901768229,0.040716254928369444,,,0.035176124113038394,0.261106461083661,,,0.2152600791566001,,
2025-02,2025-02-01,retorno_historico,0.24548802273333192,0.004064002770888269,0.13472624964392158,,0.20770203811770455,,0.06136403612271989,0.022109584898356953,,,0.02183294406136727,0.30271312165170966,,,,,
2025-03,2025-03-01,retorno_historico,0.2806965430645039,0.009473380078794667,0.06542970055577456,,0.1775320738399606,,0.08433753629549877,0.01963186562825008,,,,0.36222160908009093,,,,,
2025-04,2025-04-01,retorno_historico,0.4,0.028822464654886158,,,0.1380783328985189,,0.1752278643979062,0.07084289822015842,,,,,,0.18702843982853032,,,
2025-05,2025-05-01,retorno_historico,0.13522290624832092,0.03973210834489632,,,,,0.2109790972586131,0.15905447068714007,,,0.008086373705074486,,0.15608880888435148,,0.2500964762125845,0.040739758659019194,
2025-06,2025-06-01,retorno_historico,0.08568146012643617,0.008390614596976645,,,,,0.1888305200788639,0.161894211687439,,,0.04205238343953169,,,,0.1673889038495274,0.12171033274856119,0.22405157347266397
2025-07,2025-07-01,retorno_historico,0.08542282903187405,0.012551511035133392,,,,,0.1553698106043578,0.1751813873664878,,,0.04718751714724473,,0.17753560394310694,,0.14732840913624065,,0.19942293173555461
2025-08,2025-08-01,retorno_historico,0.17693150410663272,0.026741061716928607,,,,,0.201066508678342,0.13929497400163532,,,0.04254338889266166,,0.09742023194647616,,0.2149929879872762,,0.10100934267004728
2025-09,2025-09-01,retorno_historico,0.25891739277897147,0.03709158116887094,,,,,0.17414720127927658,0.0940278377369494,,,0.05242051670476264,,0.08276249768292167,,0.2089292264106456,,0.09170374623760184
2025-10,2025-10-01,retorno_historico,0.33344898123279054,0.044424930468970496,,,,,0.06791029619764241,0.12165004857103341,,,0.05868888498763311,,,,0.2223897865417021,0.0428502667726329,0.10863680522759508
