Mes,Data,Modelo,PRIO3.SA,POSI3.SA,EMAE4.SA,ASAI3.SA,WEGE3.SA,BRAP4.SA,BPAC11.SA,DIRR3.SA,CSNA3.SA,BRPR3.SA,PLPL3.SA,PETR4.SA,TOTS3.SA,CXSE3.SA,MSFT34.SA,TRIS3.SA,PINE4.SA
2024-08,2024-08-01,retornohistorico,0.27382516403794804,0.026514602504871813,0.007003355451248307,,0.3335108653314442,,0.10797842468506673,0.049394070592973044,,,0.009057581885708448,,,0.1927159355107394,,,
2024-09,2024-09-01,retornohistorico,0.17555687222083047,0.05131942898617788,0.09436636191557578,,0.10619779053557273,,0.15127668623664417,0.1485894229032568,,,0.01587148745467399,,,0.25682194974726824,,,
2024-10,2024-10-01,retornohistorico,0.19431549563233252,0.04168236260046003,0.08329022950537047,,0.08773066726570498,,0.1878069617010569,0.1817541249511123,,,0.029111749644721935,0.19430840869924074,,,,,
2024-11,2024-11-01,retornohistorico,0.1647729696429161,0.0385924927300518,0.0585260134107117,,0.08186494761896754,,0.21751633609938512,0.2049794044756035,,,0.037846861271215976,0.19590097475114837,,,,,
2024-12,2024-12-01,retornohistorico,0.17285208036993255,0.01980629032884111,,,0.1241590904985287,,0.15240323140215492,0.16433664348594834,,,0.026876383995203028,0.1726226497772796,,,0.16694363014211167,,
2025-01,2025-01-01,retornohistorico,0.16343016554954226,0.006434184027442545,,,0.15745146854104128,,0.12042477055289197,0.04071610719471365,,,0.03517603914248801,0.26110722871451575,,,0.21526003627736442,,
2025-02,2025-02-01,retornohistorico,0.24548792716218087,0.004064039865666044,0.13472615624350562,,0.20770188495498926,,0.06136420626457275,0.022109516911028772,,,0.021832840877183405,0.30271342772087323,,,,,
2025-03,2025-03-01,retornohistorico,0.2806962805962767,0.009473361099077003,0.06542960268488705,,0.17753207062988133,,0.08433753651392384,0.019631830950854603,,,,0.36222209418331514,,,,,
2025-04,2025-04-01,retornohistorico,0.4,0.028822453010595703,,,0.13807839132898783,,0.17522791919028763,0.07084288527048557,,,,,,0.18702835119964326,,,
2025-05,2025-05-01,retornohistorico,0.13522293742776745,0.039732038600294686,,,,,0.2109789188172566,0.15905438112304413,,,0.008086338996470956,,0.15608898721822856,,0.25009647232695004,0.04073992548998772,
2025-06,2025-06-01,retornohistorico,0.08568144349341207,0.008390595464058478,,,,,0.18883033002951638,0.16189421574048335,,,0.042052314674127955,,,,0.1673891230798633,0.12171040623841604,0.2240515712801225
2025-07,2025-07-01,retornohistorico,0.08542278764803654,0.012551485909681066,,,,,0.15536969043579313,0.1751812350680141,,,0.04718744795984777,,0.17753587803928342,,0.14732862559032872,,0.19942284934901539
2025-08,2025-08-01,retornohistorico,0.17693144734653551,0.0267410750949226,,,,,0.20106645052257163,0.1392948968744624,,,0.042543369570977645,,0.09742017933236392,,0.21499329586612137,,0.1010092853920449
2025-09,2025-09-01,retornohistorico,0.2589174250625216,0.03709157855038236,,,,,0.17414721461554836,0.09402783333802156,,,0.05242055091675318,,0.08276249348609978,,0.2089292056628265,,0.09170369836784664
2025-10,2025-10-01,retornohistorico,0.33344896447906197,0.04442493312595837,,,,,0.0679103037373276,0.12165004785924557,,,0.05868891978467005,,,,0.22238981082173798,0.04285023079548905,0.10863678939650949
